Country,Population Rank,Growth Rate,World Percentage,Density,Land Area,2020 Population Rank,2020 World Percentage,2020 Growth Rate,Area,Capital City,Region,Subregion,Anthem,Government,GDP (IMF),GDP (UN),GDP Per Capita
Slovenia,149,0.01%,0.03%,102.55,"20,140",149,0.03%,0.01%,"20,273",Ljubljana,Europe,Southern Europe,,,$58.21 Bn,$44.71 Bn,"$28,001.32"
Saint Vincent and the Grenadines,196,0.32%,0.00%,285.19,390,196,0.00%,0.32%,389,Kingstown,Americas,Caribbean,,Saint Vincent and the Grenadines,$903.00 Mn,$765.32 Mn,"$8,139.53"
Saint Lucia,189,0.46%,0.00%,298.10,610,189,0.00%,0.46%,616,Castries,Americas,Caribbean,,Saint Lucia,$2.07 Bn,$1.40 Bn,"$11,267.41"
Sao Tome and Principe,187,1.91%,0.00%,227.34,960,187,0.00%,1.91%,964,São Tomé,Africa,Middle Africa,,,$527.00 Mn,$342.78 Mn,"$2,404.65"
Argentina,32,0.93%,0.58%,16.26,"2,736,690",32,0.58%,0.93%,"2,780,400",Buenos Aires,Americas,South America,Argentina,Argentina,$515.35 Bn,$545.87 Bn,"$11,402.68"
Sierra Leone,103,2.10%,0.10%,111.19,"72,180",103,0.10%,2.10%,"71,740",Freetown,Africa,Western Africa,,,$4.22 Bn,$3.67 Bn,$529.15
Pakistan,5,2.00%,2.83%,250.47,"770,880",5,2.83%,2.00%,"881,912",Islamabad,Asia,Southern Asia,Pakistan,Pakistan,-,$282.51 Bn,"$1,278.93"
India,2,0.99%,17.70%,419.76,"2,973,190",2,17.70%,0.99%,"3,287,590",New Delhi,Asia,Southern Asia,India,India,$3.26 Tn,$2.26 Tn,"$2,360.66"
San Marino,218,0.21%,0.00%,556.25,60,218,0.00%,0.21%,61,City of San Marino,Europe,Southern Europe,,,$1.67 Bn,$1.59 Bn,"$49,276.47"
Hungary,94,-0.25%,0.12%,103.84,"90,530",94,0.12%,-0.25%,"93,028",Budapest,Europe,Eastern Europe,,Hungary,$177.73 Bn,$125.82 Bn,"$18,398.3"
Dominica,204,0.25%,0.00%,95.85,750,204,0.00%,0.25%,751,Roseau,Americas,Caribbean,,Dominica,$590.00 Mn,$581.48 Mn,"$8,196.04"
Gambia,144,2.94%,0.03%,226.09,"10,120",144,0.03%,2.94%,"10,689",Banjul,Africa,Western Africa,,,$1.87 Bn,$985.83 Mn,$773.79
Suriname,171,0.90%,0.01%,3.58,"156,000",171,0.01%,0.90%,"163,820",Paramaribo,Americas,South America,,Suriname,$3.92 Bn,$3.28 Bn,"$6,680.51"
Montenegro,168,0.01%,0.01%,45.47,"13,450",168,0.01%,0.01%,"13,812",Podgorica,Europe,Southern Europe,,,$5.74 Bn,$4.37 Bn,"$9,139.17"
Republic of the Congo,117,2.56%,0.07%,16.13,"341,500",117,0.07%,2.56%,"342,000",Brazzaville,Africa,Middle Africa,,,$11.37 Bn,$7.78 Bn,"$2,059.95"
Jordan,88,1.00%,0.13%,114.20,"88,780",88,0.13%,1.00%,"89,342",Amman,Asia,Western Asia,,Jordan,$46.45 Bn,$38.65 Bn,"$4,552.62"
Angola,44,3.27%,0.42%,26.36,"1,246,700",44,0.42%,3.27%,"1,246,700",Luanda,Africa,Middle Africa,,,$96.43 Bn,$106.92 Bn,"$2,933.89"
Zambia,65,2.93%,0.24%,24.43,"743,390",65,0.24%,2.93%,"752,612",Lusaka,Africa,Eastern Africa,,,$25.27 Bn,$21.06 Bn,"$1,374.68"
Spain,30,0.04%,0.60%,92.40,"498,800",30,0.60%,0.04%,"505,992",Madrid,Europe,Southern Europe,Spain,Spain,$1.50 Tn,$1.24 Tn,"$32,019.83"
France,22,0.22%,0.84%,118.31,"547,557",22,0.84%,0.22%,"551,695",Paris,Europe,Western Europe,France,France,$2.88 Tn,$2.47 Tn,"$44,061.52"
Belize,177,1.86%,0.01%,17.31,"22,810",177,0.01%,1.86%,"22,966",Belmopan,Americas,Central America,,Belize,$2.07 Bn,$1.74 Bn,"$5,208.39"
Belgium,81,0.44%,0.15%,379.64,"30,280",81,0.15%,0.44%,"30,528",Brussels,Europe,Western Europe,,Belgium,$553.78 Bn,$467.96 Bn,"$47,782.49"
Cyprus,158,0.73%,0.02%,130.51,"9,240",158,0.02%,0.73%,"9,251",Nicosia,Europe,Eastern Europe,,,$26.35 Bn,$20.05 Bn,"$21,822.84"
Bhutan,165,1.12%,0.01%,20.10,"38,117",165,0.01%,1.12%,"38,394",Thimphu,Asia,Southern Asia,,,$2.94 Bn,$2.21 Bn,"$3,808.93"
Jamaica,138,0.44%,0.04%,269.42,"10,830",138,0.04%,0.44%,"10,991",Kingston,Americas,Caribbean,,Jamaica,$16.72 Bn,$14.06 Bn,"$5,645.41"
Singapore,114,0.79%,0.08%,8239.92,700,114,0.08%,0.79%,710,Singapore,Asia,South-Eastern Asia,,,$391.88 Bn,$296.95 Bn,"$66,983.26"
Barbados,183,0.12%,0.00%,668.31,430,183,0.00%,0.12%,430,Bridgetown,Americas,Caribbean,,Barbados,$5.34 Bn,$4.55 Bn,"$18,578.51"
Bahrain,152,3.68%,0.02%,2224.28,760,152,0.02%,3.68%,765,Manama,Asia,Western Asia,,,$40.71 Bn,$32.18 Bn,"$23,923.13"
Portugal,89,-0.29%,0.13%,110.73,"91,590",89,0.13%,-0.29%,"92,090",Lisbon,Europe,Southern Europe,,Portugal,$249.91 Bn,$204.84 Bn,"$24,509.08"
Mozambique,46,2.93%,0.40%,38.99,"786,380",46,0.40%,2.93%,"801,590",Maputo,Africa,Eastern Africa,,,$16.29 Bn,$10.93 Bn,$521.32
Croatia,130,-0.61%,0.05%,72.54,"55,960",130,0.05%,-0.61%,"56,594",Zagreb,Europe,Southern Europe,,,$64.59 Bn,$51.23 Bn,"$15,733.45"
Brazil,6,0.72%,2.73%,24.96,"8,358,140",6,2.73%,0.72%,"8,515,767",Brasília,Americas,South America,Brazil,Brazil,$2.06 Tn,$1.80 Tn,"$9,703.17"
United States,3,0.59%,4.25%,35.32,"9,147,420",3,4.25%,0.59%,"9,372,610",Washington D.C.,Americas,Northern America,United States,United States,$22.20 Tn,$18.62 Tn,"$67,063.27"
